AZ,ITD150,ITD400,ITD600,ITD1000,sdITD150,sdITD400,sdITD600,sdITD1000,,ITD,2sdITD150,2sdITD400,2sdITD600,2sdITD1000
-11,-121.5446552,-161.3915182,-124.6720187,-116.5572908,75.4456422,37.29826489,21.61195334,42.40617387,,-545,178.1835207,80.88632901,49.62451463,61.91007906
-10,-109.5810422,-148.8443345,-112.1624602,-105.7204381,73.71722164,34.69920257,20.36156724,39.75044698,,-540,177.1683414,80.66382388,49.26595764,61.59206685
-9,-97.47117503,-135.709527,-99.92423918,-95.31892987,72.0956719,32.17244509,19.13377908,37.40975712,,-535,176.1247761,80.47657334,48.90046117,61.2730514
-8,-85.32450095,-122.0055569,-87.96238975,-85.22877915,70.55523248,29.73961394,17.94594479,35.37867604,,-530,175.0536277,80.32708403,48.52670303,60.95410919
-7,-73.29884517,-107.8020551,-76.26399768,-75.27520871,69.06204403,27.41814043,16.81081682,33.62013603,,-525,173.9559136,80.21642128,48.1434145,60.6362947
-6,-61.55203288,-93.1686524,-64.81614876,-65.28344133,67.58224717,25.22545583,15.74114766,32.09706938,,-520,172.8328035,80.1438583,47.74934198,60.32062439
-5,-50.24188925,-78.17497973,-53.60592876,-55.07869981,66.08198254,23.17899145,14.74968974,30.77240839,,-515,171.685725,80.10216106,47.34324293,60.00808817
-4,-39.48011879,-62.88875075,-42.61508536,-44.52826149,64.55694628,21.30859717,13.85364724,29.62101162,,-510,170.5162792,80.08240059,46.92402241,59.69962742
-3,-29.19394341,-47.37001046,-31.80401372,-33.66762208,63.12105654,19.69379729,13.08803109,28.66544275,,-505,169.3263559,80.07644562,46.49084987,59.39615845
-2,-19.26446433,-31.67688668,-21.12777091,-22.57433184,61.91778697,18.42653474,12.49230391,27.94019171,,-500,168.1180166,80.07653833,46.04414718,59.09856105
-1,-9.57278278,-15.86750726,-10.54141399,-11.32594106,61.09061122,17.5987524,12.10592834,27.47974846,,-495,166.8935683,80.07548268,45.58518436,58.8076384
0,-1.50E-16,7.49E-17,-7.49E-17,0,60.78300293,17.3023932,11.96836701,27.31860295,,-490,165.6560085,80.06647536,45.11531866,58.52401621
1,9.57278278,15.86750726,10.54141399,11.32594106,61.09061122,17.5987524,12.10592834,27.47974846,,-485,164.409073,80.04261649,44.63591519,58.24842985
2,19.26446433,31.67688668,21.12777091,22.57433184,61.91778697,18.42653474,12.49230391,27.94019171,,-480,163.154844,79.99687121,44.1482468,57.98192738
3,29.19394341,47.37001046,31.80401372,33.66762208,63.12105654,19.69379729,13.08803109,28.66544275,,-475,161.889291,79.92213576,43.65352523,57.72752481
4,39.48011879,62.88875075,42.61508536,44.52826149,64.55694628,21.30859717,13.85364724,29.62101162,,-470,160.5863911,79.8111574,43.15286269,57.49199151
5,50.24188925,78.17497973,53.60592876,55.07869981,66.08198254,23.17899145,14.74968974,30.77240839,,-465,159.2101171,79.65803732,42.64744185,57.28252901
6,61.55203288,93.1686524,64.81614876,65.28344133,67.58224717,25.22545583,15.74114766,32.09706938,,-460,157.7171785,79.46364307,42.13863906,57.10633764
7,73.29884517,107.8020551,76.26399768,75.27520871,69.06204403,27.41814043,16.81081682,33.62013603,,-455,156.0563987,79.23101876,41.62911517,56.97043446
8,85.32450095,122.0055569,87.96238975,85.22877915,70.55523248,29.73961394,17.94594479,35.37867604,,-450,154.1632497,78.96416032,41.12320929,56.88146547
9,97.47117503,135.709527,99.92423918,95.31892987,72.0956719,32.17244509,19.13377908,37.40975712,,-445,151.9487027,78.66758759,40.62525216,56.84616369
10,109.5810422,148.8443345,112.1624602,105.7204381,73.71722164,34.69920257,20.36156724,39.75044698,,-440,149.3116741,78.34587489,40.1394148,56.87156467
11,121.5446552,161.3915182,124.6720187,116.5572908,75.4456422,37.29826489,21.61195334,42.40617387,,-435,146.2170221,78.00364231,39.66929085,56.96432103
12,133.4460775,173.5372952,137.3760874,127.750314,77.27429862,39.93124965,22.84916754,45.25580825,,-430,142.7789423,77.64555952,39.21798571,57.12991448
13,145.4177507,185.5190524,150.1798907,139.1695434,79.18845705,42.55558427,24.03283653,48.1465811,,-425,139.2097343,77.27637099,38.78807148,57.36902792
14,157.5921162,197.5741765,162.9886529,150.6850147,81.17338366,45.12869614,25.12258699,50.92572342,,-420,135.7364067,76.90059306,38.38169533,57.66639623
15,170.1016154,209.9400544,175.7075984,162.1667638,83.2143446,47.60801265,26.07804562,53.44046621,,-415,132.54134,76.52203034,38.00020891,58.00315998
16,183.0047274,222.803134,188.2475274,173.5071649,85.29504604,49.96652265,26.87071278,55.56727773,,-410,129.7339461,76.14365735,37.64426,58.35982172
17,196.0640813,236.1461079,200.541543,184.687946,87.39295407,52.23946068,27.51958346,57.29957534,,-405,127.3394443,75.7633066,37.31238461,58.71692572
18,208.9683438,249.9007298,212.5283243,195.7131737,89.48397481,54.47762273,28.05552634,58.66001368,,-400,125.3078494,75.37651295,37.0006625,59.05645051
19,221.4061817,263.9987535,224.14655,206.5869145,91.54401435,56.73180477,28.50941008,59.67124738,,-395,123.5541112,74.97904299,36.70530199,59.36101191
20,233.0662618,278.3719327,235.3348992,217.3132351,93.5489788,59.0528028,28.91210337,60.35593108,,-390,122.0154299,74.56695301,36.42314389,59.61394717
21,243.7775328,292.9405848,246.081957,227.8965647,95.48534327,61.46743313,29.2929976,60.73793652,,-385,120.641138,74.13646348,36.15119002,59.79912491
22,253.9300715,307.5792811,256.5759332,238.3427835,97.38185887,63.90659342,29.67557511,60.84600388,,-380,119.3977486,73.68441534,35.88692797,59.90268905
23,264.0542372,322.1511569,267.0549438,248.6581346,99.27784573,66.27720168,30.08184099,60.71009044,,-375,118.2569704,73.20782069,35.62805366,59.9130302
24,274.6803886,336.519347,277.7571048,258.8488609,101.212624,68.48617589,30.53380032,60.3601535,,-370,117.1984402,72.7039193,35.37239098,59.82892239
25,286.3388848,350.5469866,288.9205322,268.9212054,103.2255137,70.44043407,31.05345817,59.82615034,,-365,116.2040014,72.17021185,35.11794022,59.6663095
26,299.3795743,364.1229148,300.7156922,278.898679,105.345571,72.07339485,31.65471498,59.15370998,,-360,115.2600793,71.60429509,34.86274866,59.44254526
27,313.4302636,377.2387874,313.0424523,288.8738645,107.5607954,73.42447944,32.31905255,58.45114844,,-355,114.3554328,71.00432432,34.60506869,59.17420438
28,327.9382487,389.9119642,325.7330302,298.9566124,109.8489223,74.55960968,33.01984804,57.84245343,,-350,113.4806508,70.36868969,34.34324204,58.87761214
29,342.3508257,402.159805,338.6196435,309.2567735,112.1876872,75.54470743,33.73047863,57.45161272,,-345,112.6301122,69.69711067,34.07654369,58.56842131
30,356.1152906,413.9996697,351.5345098,319.8841983,114.5548255,76.44569453,34.42432146,57.40261402,,-340,111.7987088,68.99314721,33.80580131,58.26196046
31,368.7784453,425.4646832,364.322111,330.9067903,116.9507427,77.31094522,35.08344951,57.76582643,,-335,110.9823103,68.26104553,33.5319925,57.97453851
32,380.2851149,436.6510299,376.8759854,342.2246643,119.4665246,78.11864326,35.72471901,58.39714442,,-330,110.1778436,67.50477387,33.25612526,57.72360298
33,390.6796305,447.6706595,389.1019351,353.6959878,122.2159268,78.8294248,36.37368197,59.09884379,,-325,109.3823039,66.72783409,32.97922435,57.52746512
34,400.0063229,458.6355216,400.9057625,365.1789283,125.3127052,79.40392599,37.05589042,59.67320036,,-320,108.5929351,65.93367653,32.7023262,57.40631869
35,408.3095232,469.6575657,412.19327,376.5316536,128.8706156,79.80278298,37.79689641,59.92248994,,-315,107.8071784,65.12552169,32.42649707,57.37641834
