azim,150,400,500,600,1000
12,208.52,151.51,160.02,137.68,135.11
13,223.48,163.08,172.6,150.66,145.98
14,238.6,174.94,185.53,163.69,156.98
15,253.61,187.37,198.94,176.63,168.03
16,268.23,200.58,212.89,189.33,179.03
17,282.24,214.45,227.25,201.72,189.98
18,295.41,228.8,241.83,213.76,200.84
19,307.52,243.43,256.43,225.38,211.61
20,318.35,258.15,270.87,236.55,222.27
21,327.81,272.79,284.99,247.25,232.81
22,336.41,287.32,298.76,257.68,243.21
23,344.79,301.71,312.19,268.06,253.45
24,353.59,315.95,325.29,278.63,263.52
25,363.46,330.03,338.06,289.62,273.39
26,374.84,343.93,350.51,301.21,283.07
27,387.34,357.55,362.66,313.27,292.71
28,400.4,370.8,374.51,325.64,302.45
29,413.43,383.59,386.07,338.13,312.45
30,425.85,395.82,397.36,350.58,322.89
31,437.22,407.44,408.39,362.83,333.86
32,447.66,418.57,419.22,374.79,345.2
33,457.43,429.39,429.95,386.42,356.71
34,466.78,440.06,440.63,397.66,368.17
35,475.97,450.78,451.34,408.46,379.37
36,485.19,461.66,462.13,418.79,390.14
37,494.39,472.66,472.91,428.71,400.48
38,503.47,483.7,483.58,438.33,410.41
39,512.32,494.69,494,447.73,419.98
40,520.82,505.55,504.07,457.02,429.23
41,528.9,516.22,513.71,466.26,438.2
42,536.62,526.72,522.95,475.45,447.03
43,544.04,537.07,531.85,484.58,455.88
44,551.27,547.33,540.47,493.63,464.89
45,558.37,557.54,548.89,502.58,474.22
46,565.44,567.7,557.15,511.41,483.97
47,572.52,577.82,565.28,520.13,494.1
48,579.7,587.83,573.32,528.77,504.51
49,587.01,597.72,581.27,537.33,515.11
50,594.54,607.43,589.16,545.85,525.8
51,602.33,616.94,597.01,554.33,536.48
52,610.44,626.2,604.85,562.8,547.08
53,618.95,635.18,612.69,571.26,557.48
54,627.9,643.83,620.56,579.75,567.61
55,637.36,652.13,628.48,588.27,577.35
56,647.36,660.04,636.45,596.84,586.65
57,657.8,667.57,644.45,605.41,595.49
58,668.54,674.74,652.4,613.91,603.89
59,679.47,681.58,660.27,622.29,611.85
60,690.44,688.09,668,630.49,619.4
61,701.33,694.31,675.54,638.46,626.55
62,712.01,700.25,682.83,646.13,633.3
63,722.35,705.92,689.83,653.45,639.67
64,732.21,711.36,696.48,660.35,645.68
65,741.47,716.57,702.72,666.78,651.33
66,750.02,721.58,708.52,672.7,656.65
67,757.89,726.4,713.9,678.13,661.65
68,765.12,731.04,718.88,683.09,666.35
69,771.77,735.52,723.5,687.63,670.78
70,777.88,739.86,727.79,691.78,674.96
71,783.49,744.06,731.77,695.58,678.91
72,788.67,748.13,735.48,699.07,682.66
