,muP,sP,Nsig,Mean_Abs,Std_Corr
121,0.0,5.0,3.8000000000000003,396.1096556166011,
122,0.0,5.0,4.0,398.1017643726168,1.0
123,0.0,5.0,4.2,399.94034993242417,
124,0.0,5.0,4.4,401.64275393362186,1.0
125,0.0,5.0,4.6000000000000005,403.2237868737728,
126,0.0,5.0,4.800000000000001,404.69617567073146,0.9999999999999999
127,0.0,5.0,5.0,406.0709191319565,
128,0.0,5.0,5.2,407.3575727775742,1.0
129,0.0,5.0,5.4,408.5644789236466,
130,0.0,5.0,5.6000000000000005,409.69895395607165,1.0
131,0.0,5.0,5.800000000000001,410.7674418361245,
132,0.0,5.0,6.0,411.77564075500493,1.0
133,0.0,5.0,6.2,412.7286082774396,
134,0.0,5.0,6.4,413.6308491312989,1.0
135,0.0,5.0,6.6000000000000005,414.48638890461814,
136,0.0,5.0,6.800000000000001,415.2988362276293,1.0
137,0.0,5.0,7.0,416.0714354911066,
138,0.0,5.0,7.2,416.8071117441331,1.0
139,0.0,5.0,7.4,417.50850909553725,
140,0.0,5.0,7.6000000000000005,418.1780236924821,1.0
141,0.0,5.0,7.800000000000001,418.8178321512003,
142,0.0,5.0,8.0,419.42991615681615,1.0
143,0.0,5.0,8.200000000000001,420.01608382260275,
144,0.0,5.0,8.4,420.5779882970799,1.0
145,0.0,5.0,8.6,421.11714402483364,
146,0.0,5.0,8.8,421.6349409998059,1.0
147,0.0,5.0,9.0,422.13265729492525,
148,0.0,5.0,9.200000000000001,422.61147010689524,1.0
149,0.0,5.0,9.4,423.0724655178037,
150,0.0,5.0,9.600000000000001,423.5166471444501,0.9999999999999999
151,0.0,5.0,9.8,423.9449438207129,
152,0.0,5.0,10.0,424.3582164369414,1.0
153,0.0,7.5,0.0,,
154,0.0,7.5,0.2,215.71067226179792,1.0
155,0.0,7.5,0.4,244.46206036811418,
156,0.0,7.5,0.6000000000000001,266.5011841684321,1.0
157,0.0,7.5,0.8,283.96809980498233,
158,0.0,7.5,1.0,298.18736307166097,1.0
159,0.0,7.5,1.2000000000000002,310.0115419836538,
160,0.0,7.5,1.4000000000000001,320.01409439492795,1.0
161,0.0,7.5,1.6,328.5959853907541,
162,0.0,7.5,1.8,336.0467426530611,1.0
163,0.0,7.5,2.0,342.58109072452885,
164,0.0,7.5,2.2,348.36190007859295,1.0
165,0.0,7.5,2.4000000000000004,353.5151056198006,
166,0.0,7.5,2.6,358.13971489104244,1.0
167,0.0,7.5,2.8000000000000003,362.314705558023,
168,0.0,7.5,3.0,366.1038912949491,1.0
169,0.0,7.5,3.2,369.5594253855784,
170,0.0,7.5,3.4000000000000004,372.7243695030378,0.9999999999999998
171,0.0,7.5,3.6,375.63460775377496,
172,0.0,7.5,3.8000000000000003,378.3202937084541,1.0
173,0.0,7.5,4.0,380.80695880738136,
174,0.0,7.5,4.2,383.11637155911006,1.0
175,0.0,7.5,4.4,385.2672108443039,
176,0.0,7.5,4.6000000000000005,387.27559882979875,1.0
177,0.0,7.5,4.800000000000001,389.1555266509047,
178,0.0,7.5,5.0,390.919197329606,0.9999999999999998
179,0.0,7.5,5.2,392.577304194575,
180,0.0,7.5,5.4,394.1392585864485,0.9999999999999998
181,0.0,7.5,5.6000000000000005,395.6133773535675,
182,0.0,7.5,5.800000000000001,397.00703821945655,1.0
183,0.0,7.5,6.0,398.3268092927082,
184,0.0,7.5,6.2,399.57855762453073,1.0
185,0.0,7.5,6.4,400.76754068032943,
186,0.0,7.5,6.6000000000000005,401.89848379461677,1.0
187,0.0,7.5,6.800000000000001,402.9756460621785,
188,0.0,7.5,7.0,404.0028766382564,0.9999999999999998
189,0.0,7.5,7.2,404.98366304383467,
190,0.0,7.5,7.4,405.9211727746763,0.9999999999999998
191,0.0,7.5,7.6000000000000005,406.81828927640487,
192,0.0,7.5,7.800000000000001,407.67764315902275,1.0
193,0.0,7.5,8.0,408.50163937240535,
194,0.0,7.5,8.200000000000001,409.2924809416094,1.0
195,0.0,7.5,8.4,410.05218976117214,
196,0.0,7.5,8.6,410.78262486623726,1.0
197,0.0,7.5,8.8,411.48549853166105,
198,0.0,7.5,9.0,412.1623904953248,1.0
199,0.0,7.5,9.200000000000001,412.8147605564637,
200,0.0,7.5,9.4,413.44395976211,1.0
201,0.0,7.5,9.600000000000001,414.05124036330676,
202,0.0,7.5,9.8,414.6377646964513,1.0
203,0.0,7.5,10.0,415.20461312304076,
204,0.0,10.0,0.0,,
205,0.0,10.0,0.2,207.02891137761333,
206,0.0,10.0,0.4,231.10916001193632,1.0
207,0.0,10.0,0.6000000000000001,250.52657420354728,
208,0.0,10.0,0.8,266.5332958294222,0.9999999999999998
209,0.0,10.0,1.0,279.98226922963215,
210,0.0,10.0,1.2000000000000002,291.4607246874417,1.0
211,0.0,10.0,1.4000000000000001,301.3853655259421,
212,0.0,10.0,1.6,310.0608199151592,0.9999999999999998
213,0.0,10.0,1.8,317.71550756204005,
214,0.0,10.0,2.0,324.52440464591353,0.9999999999999998
215,0.0,10.0,2.2,330.62401207061,
216,0.0,10.0,2.4000000000000004,336.12250617806546,1.0
217,0.0,10.0,2.6,341.10680622563984,
218,0.0,10.0,2.8000000000000003,345.6476077392502,1.0
219,0.0,10.0,3.0,349.8030385154663,
220,0.0,10.0,3.2,353.62136074221803,1.0
221,0.0,10.0,3.4000000000000004,357.14299930748723,
222,0.0,10.0,3.6,360.4020856799014,1.0
223,0.0,10.0,3.8000000000000003,363.4276479641925,
224,0.0,10.0,4.0,366.2445387979206,1.0
225,0.0,10.0,4.2,368.87416646014526,
226,0.0,10.0,4.4,371.33507649109015,0.9999999999999998
227,0.0,10.0,4.6000000000000005,373.6434185032974,
228,0.0,10.0,4.800000000000001,375.8133239247284,1.0
229,0.0,10.0,5.0,377.8572139951079,
230,0.0,10.0,5.2,379.7860526703957,1.0
231,0.0,10.0,5.4,381.6095556589615,
232,0.0,10.0,5.6000000000000005,383.3363642629515,1.0
233,0.0,10.0,5.800000000000001,384.97419078426606,
234,0.0,10.0,6.0,386.52994080452675,0.9999999999999998
235,0.0,10.0,6.2,388.00981654032955,
236,0.0,10.0,6.4,389.4194046214065,0.9999999999999998
237,0.0,10.0,6.6000000000000005,390.7637509765748,
238,0.0,10.0,6.800000000000001,392.0474249941303,1.0
239,0.0,10.0,7.0,393.2745747153476,
240,0.0,10.0,7.2,394.4489744964694,1.0
241,0.0,10.0,7.4,395.57406631685177,
242,0.0,10.0,7.6000000000000005,396.65299570428,1.0
243,0.0,10.0,7.800000000000001,397.6886430818749,
244,0.0,10.0,8.0,398.68365120597645,1.0
245,0.0,10.0,8.200000000000001,399.6404492544273,
246,0.0,10.0,8.4,400.5612740346765,1.0
247,0.0,10.0,8.6,401.44818870714647,
248,0.0,10.0,8.8,402.3030993582272,0.9999999999999999
249,0.0,10.0,9.0,403.1277697066254,
250,0.0,10.0,9.200000000000001,403.92383418465596,0.9999999999999999
251,0.0,10.0,9.4,404.69280960085104,
252,0.0,10.0,9.600000000000001,405.43610556074276,1.0
253,0.0,10.0,9.8,406.15503379783263,
254,0.0,10.0,10.0,406.8508165457901,0.9999999999999999
255,0.0,12.5,0.0,,
256,0.0,12.5,0.2,201.46850341515454,0.9999999999999999
257,0.0,12.5,0.4,222.13374650727675,
258,0.0,12.5,0.6000000000000001,239.3794260435031,1.0
259,0.0,12.5,0.8,253.99669562527745,
260,0.0,12.5,1.0,266.5646638573047,1.0
261,0.0,12.5,1.2000000000000002,277.50197488367945,
262,0.0,12.5,1.4000000000000001,287.11775036801896,0.9999999999999998
263,0.0,12.5,1.6,295.64579678360224,
264,0.0,12.5,1.8,303.26667524331395,1.0
265,0.0,12.5,2.0,310.122305465891,
266,0.0,12.5,2.2,316.3259343113468,0.9999999999999998
267,0.0,12.5,2.4000000000000004,321.9691277497159,
268,0.0,12.5,2.6,327.12678850574247,1.0
269,0.0,12.5,2.8000000000000003,331.86082771822936,
270,0.0,12.5,3.0,336.222897605167,1.0
271,0.0,12.5,3.2,340.25645602278604,
272,0.0,12.5,3.4000000000000004,343.9983473847271,0.9999999999999998
273,0.0,12.5,3.6,347.48002805105966,
274,0.0,12.5,3.8000000000000003,350.7285267125503,1.0
275,0.0,12.5,4.0,353.76720473874724,
276,0.0,12.5,4.2,356.616363778212,1.0
277,0.0,12.5,4.4,359.293735476572,
278,0.0,12.5,4.6000000000000005,361.81487932502114,1.0
279,0.0,12.5,4.800000000000001,364.19350826012436,
280,0.0,12.5,5.0,366.4417569652362,1.0
281,0.0,12.5,5.2,368.5704043727926,
282,0.0,12.5,5.4,370.5890592902287,0.9999999999999999
283,0.0,12.5,5.6000000000000005,372.50631613000985,
284,0.0,12.5,5.800000000000001,374.32988624684526,1.0
285,0.0,12.5,6.0,376.06670925177366,
286,0.0,12.5,6.2,377.723047796421,1.0
287,0.0,12.5,6.4,379.30456863798094,
288,0.0,12.5,6.6000000000000005,380.81641225980854,0.9999999999999999
289,0.0,12.5,6.800000000000001,382.26325289945214,
290,0.0,12.5,7.0,383.6493504997118,0.9999999999999999
291,0.0,12.5,7.2,384.97859582947086,
292,0.0,12.5,7.4,386.25454980488973,1.0
293,0.0,12.5,7.6000000000000005,387.4804778668042,
294,0.0,12.5,7.800000000000001,388.65938012818725,0.9999999999999999
295,0.0,12.5,8.0,389.7940178895991,
296,0.0,12.5,8.200000000000001,390.8869370254554,1.0
297,0.0,12.5,8.4,391.9404886655849,
298,0.0,12.5,8.6,392.9568475317204,1.0
299,0.0,12.5,8.8,393.938028234695,
300,0.0,12.5,9.0,394.88589979319977,1.0
301,0.0,12.5,9.200000000000001,395.80219859735075,
302,0.0,12.5,9.4,396.6885400087158,1.0
303,0.0,12.5,9.600000000000001,397.546428761823,
304,0.0,12.5,9.8,398.3772683096412,1.0
305,0.0,12.5,10.0,399.1823692364132,
306,0.0,15.0,0.0,,
307,0.0,15.0,0.2,197.60215676313334,
308,0.0,15.0,0.4,215.68320426233532,1.0
309,0.0,15.0,0.6000000000000001,231.15160436304797,
310,0.0,15.0,0.8,244.53700756040618,1.0
311,0.0,15.0,1.0,256.2502065688063,
312,0.0,15.0,1.2000000000000002,266.5992787994056,1.0
313,0.0,15.0,1.4000000000000001,275.8187432933696,
314,0.0,15.0,1.6,284.09080399417303,1.0
315,0.0,15.0,1.8,291.559548810108,
316,0.0,15.0,2.0,298.34063471680054,1.0
317,0.0,15.0,2.2,304.52809368027386,
318,0.0,15.0,2.4000000000000004,310.19923840280273,1.0
319,0.0,15.0,2.6,315.41827221205074,
320,0.0,15.0,2.8000000000000003,320.2389915367744,0.9999999999999998
321,0.0,15.0,3.0,324.70683932635944,
322,0.0,15.0,3.2,328.86048592013276,0.9999999999999998
323,0.0,15.0,3.4000000000000004,332.73306056558863,
324,0.0,15.0,3.6,336.3531211293435,1.0
325,0.0,15.0,3.8000000000000003,339.74542518210126,
326,0.0,15.0,4.0,342.93154869255966,1.0
327,0.0,15.0,4.2,345.9303865923787,
328,0.0,15.0,4.4,348.75856089640365,1.0
329,0.0,15.0,4.6000000000000005,351.4307558379088,
330,0.0,15.0,4.800000000000001,353.9599949087245,1.0
331,0.0,15.0,5.0,356.3578713023086,
332,0.0,15.0,5.2,358.63474071486974,1.0
333,0.0,15.0,5.4,360.79988353505337,
334,0.0,15.0,5.6000000000000005,362.86164198321677,1.0
335,0.0,15.0,5.800000000000001,364.8275366300094,
336,0.0,15.0,6.0,366.70436584622576,1.0
337,0.0,15.0,6.2,368.4982910498987,
338,0.0,15.0,6.4,370.21491007673137,1.0
339,0.0,15.0,6.6000000000000005,371.8593205723434,
340,0.0,15.0,6.800000000000001,373.43617496399236,0.9999999999999999
341,0.0,15.0,7.0,374.9497282962044,
342,0.0,15.0,7.2,376.4038799945051,1.0
343,0.0,15.0,7.4,377.8022104429529,
344,0.0,15.0,7.6000000000000005,379.1480131158131,0.9999999999999999
345,0.0,15.0,7.800000000000001,380.4443228847489,
346,0.0,15.0,8.0,381.6939410251123,1.0
347,0.0,15.0,8.200000000000001,382.8994573641721,
348,0.0,15.0,8.4,384.0632699471656,0.9999999999999999
349,0.0,15.0,8.6,385.1876025413377,
350,0.0,15.0,8.8,386.27452025156225,1.0
351,0.0,15.0,9.0,387.3259434820882,
352,0.0,15.0,9.200000000000001,388.34366044608646,1.0
353,0.0,15.0,9.4,389.3293383969211,
354,0.0,15.0,9.600000000000001,390.2845337315512,0.9999999999999999
355,0.0,15.0,9.8,391.2107010964909,
356,0.0,15.0,10.0,392.1092016097229,1.0
357,0.0,17.5,0.0,,
358,0.0,17.5,0.2,194.7580158242567,1.0
359,0.0,17.5,0.4,210.82253354016203,
360,0.0,17.5,0.6000000000000001,224.82652469065226,1.0
361,0.0,17.5,0.8,237.14084881142796,
362,0.0,17.5,1.0,248.06762582305842,1.0
363,0.0,17.5,1.2000000000000002,257.8399261899065,
364,0.0,17.5,1.4000000000000001,266.63944718705744,1.0
365,0.0,17.5,1.6,274.6104369611404,
366,0.0,17.5,1.8,281.86921308891016,1.0
367,0.0,17.5,2.0,288.5107908078262,
368,0.0,17.5,2.2,294.6136454904839,0.9999999999999998
369,0.0,17.5,2.4000000000000004,300.24322247407514,
370,0.0,17.5,2.6,305.4545746556037,0.9999999999999998
371,0.0,17.5,2.8000000000000003,310.29437587764176,
372,0.0,17.5,3.0,314.80247831063605,1.0
373,0.0,17.5,3.2,319.0131312079934,
374,0.0,17.5,3.4000000000000004,322.95594469472746,1.0
375,0.0,17.5,3.6,326.65665922999256,
376,0.0,17.5,3.8000000000000003,330.1377653259654,1.0
377,0.0,17.5,4.0,333.41900671272924,
378,0.0,17.5,4.2,336.51779193886074,1.0
379,0.0,17.5,4.4,339.44953342000514,
380,0.0,17.5,4.6000000000000005,342.2279285398551,1.0
381,0.0,17.5,4.800000000000001,344.86519412275936,
382,0.0,17.5,5.0,347.3722631244472,1.0
383,0.0,17.5,5.2,349.7589505089383,
384,0.0,17.5,5.4,352.03409384042357,1.0
385,0.0,17.5,5.6000000000000005,354.205673007161,
386,0.0,17.5,5.800000000000001,356.2809126291315,1.0
387,0.0,17.5,6.0,358.26637002289533,
388,0.0,17.5,6.2,360.1680110617599,0.9999999999999999
389,0.0,17.5,6.4,361.9912758441784,
390,0.0,17.5,6.6000000000000005,363.74113574354,1.0
391,0.0,17.5,6.800000000000001,365.42214313946636,
392,0.0,17.5,7.0,367.038474910089,1.0
393,0.0,17.5,7.2,368.5939705855812,
394,0.0,17.5,7.4,370.0921659169427,1.0
395,0.0,17.5,7.6000000000000005,371.53632249408315,
396,0.0,17.5,7.800000000000001,372.92945394843764,1.0
397,0.0,17.5,8.0,374.27434919360485,
398,0.0,17.5,8.200000000000001,375.57359308959485,1.0
399,0.0,17.5,8.4,376.82958485964997,
400,0.0,17.5,8.6,378.04455454120455,0.9999999999999999
401,0.0,17.5,8.8,379.220577712729,
402,0.0,17.5,9.0,380.3595887046415,1.0
403,0.0,17.5,9.200000000000001,381.4633924740783,
404,0.0,17.5,9.4,382.53367529922826,0.9999999999999999
405,0.0,17.5,9.600000000000001,383.57201442843507,
406,0.0,17.5,9.8,384.5798868017693,1.0
407,0.0,17.5,10.0,385.5586769477946,
408,0.0,20.0,0.0,,
409,0.0,20.0,0.2,192.57812753916065,
410,0.0,20.0,0.4,207.02819395106872,1.0
411,0.0,20.0,0.6000000000000001,219.81164315197026,
412,0.0,20.0,0.8,231.1976167930544,1.0
413,0.0,20.0,1.0,241.41511673816126,
414,0.0,20.0,1.2000000000000002,250.644728406375,1.0
415,0.0,20.0,1.4000000000000001,259.02990559588926,
416,0.0,20.0,1.6,266.68656399372287,1.0
417,0.0,20.0,1.8,273.7097084452885,
418,0.0,20.0,2.0,280.178103025239,1.0
419,0.0,20.0,2.2,286.15768162790334,
420,0.0,20.0,2.4000000000000004,291.7041070054888,1.0
421,0.0,20.0,2.6,296.86472830019363,
422,0.0,20.0,2.8000000000000003,301.68010057322874,1.0
423,0.0,20.0,3.0,306.18517860698864,
424,0.0,20.0,3.2,310.4102646435724,1.0
425,0.0,20.0,3.4000000000000004,314.3817678530164,
426,0.0,20.0,3.6,318.12281815185054,1.0
427,0.0,20.0,3.8000000000000003,321.6537662226277,
428,0.0,20.0,4.0,324.9925938108353,0.9999999999999999
429,0.0,20.0,4.2,328.1552526871728,
430,0.0,20.0,4.4,331.15594645187537,1.0
431,0.0,20.0,4.6000000000000005,334.00736620692356,
432,0.0,20.0,4.800000000000001,336.7208887415894,0.9999999999999999
433,0.0,20.0,5.0,339.3067440621479,
434,0.0,20.0,5.2,341.77415770155966,1.0
435,0.0,20.0,5.4,344.13147216396726,
436,0.0,20.0,5.6000000000000005,346.3862510150052,1.0
437,0.0,20.0,5.800000000000001,348.54536846553947,
438,0.0,20.0,6.0,350.61508677150096,1.0
439,0.0,20.0,6.2,352.60112335443944,
440,0.0,20.0,6.4,354.50870921257473,1.0
441,0.0,20.0,6.6000000000000005,356.3426399223736,
442,0.0,20.0,6.800000000000001,358.1073203122324,1.0
443,0.0,20.0,7.0,359.8068037120262,
444,0.0,20.0,7.2,361.4448265368526,1.0
445,0.0,20.0,7.4,363.02483884378705,
446,0.0,20.0,7.6000000000000005,364.5500314018426,0.9999999999999999
447,0.0,20.0,7.800000000000001,366.02335973357924,
448,0.0,20.0,8.0,367.44756551878845,0.9999999999999999
449,0.0,20.0,8.200000000000001,368.8251956938585,
450,0.0,20.0,8.4,370.1586195327842,1.0
451,0.0,20.0,8.6,371.4500439556987,
452,0.0,20.0,8.8,372.70152727696745,1.0
453,0.0,20.0,9.0,373.91499157621104,
454,0.0,20.0,9.200000000000001,375.0922338512725,1.0
455,0.0,20.0,9.4,376.23493609138035,
456,0.0,20.0,9.600000000000001,377.3446743910179,1.0
457,0.0,20.0,9.8,378.42292720979464,
458,0.0,20.0,10.0,379.4710828705458,1.0
459,0.0,22.5,0.0,,
460,0.0,22.5,0.2,190.85424823061345,0.9999999999999998
461,0.0,22.5,0.4,203.98400274671928,
462,0.0,22.5,0.6000000000000001,215.73780995969474,1.0
463,0.0,22.5,0.8,226.31679390539225,
464,0.0,22.5,1.0,235.89902958488798,1.0
465,0.0,22.5,1.2000000000000002,244.62735793039556,
466,0.0,22.5,1.4000000000000001,252.61695123977853,1.0
467,0.0,22.5,1.6,259.96223948071406,
468,0.0,22.5,1.8,266.7416900410949,1.0
469,0.0,22.5,2.0,273.02118770730544,
470,0.0,22.5,2.2,278.856529996047,1.0
471,0.0,22.5,2.4000000000000004,284.29532635225473,
472,0.0,22.5,2.6,289.3784729064439,1.0
473,0.0,22.5,2.8000000000000003,294.14131402478404,
474,0.0,22.5,3.0,298.61456742701796,0.9999999999999999
475,0.0,22.5,3.2,302.82506801588505,
476,0.0,22.5,3.4000000000000004,306.79637101632756,1.0
477,0.0,22.5,3.6,310.54924481790533,
478,0.0,22.5,3.8000000000000003,314.1020765652088,1.0
479,0.0,22.5,4.0,317.47120815608076,
480,0.0,22.5,4.2,320.67121630907013,1.0
481,0.0,22.5,4.4,323.7151473599166,
482,0.0,22.5,4.6000000000000005,326.61471517145753,1.0
483,0.0,22.5,4.800000000000001,329.38046880102064,
484,0.0,22.5,5.0,332.0219352272395,1.0
485,0.0,22.5,5.2,334.5477413951237,
486,0.0,22.5,5.4,336.9657190216086,0.9999999999999999
487,0.0,22.5,5.6000000000000005,339.282994960104,
488,0.0,22.5,5.800000000000001,341.5060694118567,1.0
489,0.0,22.5,6.0,343.6408838642633,
490,0.0,22.5,6.2,345.6928803089438,1.0
491,0.0,22.5,6.4,347.66705302811334,
492,0.0,22.5,6.6000000000000005,349.5679940233148,1.0
493,0.0,22.5,6.800000000000001,351.3999329856356,
494,0.0,22.5,7.0,353.1667725631679,1.0
495,0.0,22.5,7.2,354.8721195634444,
496,0.0,22.5,7.4,356.51931263100005,1.0
497,0.0,22.5,7.6000000000000005,358.1114468591903,
498,0.0,22.5,7.800000000000001,359.65139572786586,0.9999999999999999
499,0.0,22.5,8.0,361.1418307020018,
500,0.0,22.5,8.200000000000001,362.5852387789314,0.9999999999999999
501,0.0,22.5,8.4,363.98393823185125,
502,0.0,22.5,8.6,365.3400927634612,1.0
503,0.0,22.5,8.8,366.65572425492513,
504,0.0,22.5,9.0,367.9327242709422,1.0
505,0.0,22.5,9.200000000000001,369.17286446089423,
506,0.0,22.5,9.4,370.3778059782177,1.0
507,0.0,22.5,9.600000000000001,371.5491080248493,
508,0.0,22.5,9.8,372.6882356144372,1.0
509,0.0,22.5,10.0,373.79656663664895,
510,0.0,25.0,0.0,,
511,0.0,25.0,0.2,189.4569712639031,
512,0.0,25.0,0.4,201.48765023744113,1.0
513,0.0,25.0,0.6000000000000001,212.3628927399068,
514,0.0,25.0,0.8,222.23671195919508,1.0
515,0.0,25.0,1.0,231.25065993044961,
516,0.0,25.0,1.2000000000000002,239.5197759967286,1.0
517,0.0,25.0,1.4000000000000001,247.1379091218442,
518,0.0,25.0,1.6,254.18294382582775,1.0
519,0.0,25.0,1.8,260.72036356184094,
520,0.0,25.0,2.0,266.80575880515613,0.9999999999999998
521,0.0,25.0,2.2,272.48668919944083,
522,0.0,25.0,2.4000000000000004,277.8041164231695,1.0
523,0.0,25.0,2.6,282.7935309878317,
524,0.0,25.0,2.8000000000000003,287.48585104988786,1.0
525,0.0,25.0,3.0,291.9081469781721,
526,0.0,25.0,3.2,296.0842305734964,1.0
527,0.0,25.0,3.4000000000000004,300.03513792016497,
528,0.0,25.0,3.6,303.77952784934104,1.0
